State,Population (in millions)
California,39.24
Texas,29.53
Florida,21.78
New York,19.84
Pennsylvania,12.96
Illinois,12.67
Ohio,11.78
Georgia,10.80
North Carolina,10.55
Michigan,10.05
New Jersey,9.27
Virginia,8.64
Washington,7.74
Arizona,7.28
Tennessee,6.98
Massachusetts,6.98
Indiana,6.81
Maryland,6.17
Missouri,6.17
Wisconsin,5.90
Colorado,5.81
Minnesota,5.71
South Carolina,5.19
Alabama,5.04
Louisiana,4.62
Kentucky,4.51
Oregon,4.25
Oklahoma,3.99
Connecticut,3.61
Utah,3.34
Iowa,3.19
Nevada,3.14
Arkansas,3.03
Mississippi,2.95
Kansas,2.93
New Mexico,2.12
Nebraska,1.96
Idaho,1.90
West Virginia,1.78
Hawaii,1.44
New Hampshire,1.39
Maine,1.37
Rhode Island,1.10
Montana,1.10
Delaware,1
South Dakota,0.90
North Dakota,0.77
Alaska,0.73
District of Columbia,0.67
Vermont,0.65
Wyoming,0.58
